Sigle;Kurztitel;Kurzautor;Jahr;Autor;Titel;Titelzusatz;Publikationsinfos;Bemerkungen
Seneca5;;Seneca;1800;Seneca, Lucius Annaeus;L. Annaei Senecae philosophi Opera: ad optimas editiones collata praemittitur notitia literaria studiis Societatis Bipontinae, ad Lucilium epistolae.;;Biponti 1800;
SibyllinischeBuecher;Sibyllinische Bücher;;;;Sibyllinische Bücher (Libri Sibyllini, fatales, fatidici).;;;
SibyllinischeSprueche;Sibyllinische Sprüche;;;;Sibyllinische Sprüche (Oracula Sibyllina).;;;
Simon1;De religione;Simon;1773--1775;Simon, Jordan;De religione contra libertinos libri tres in usum et commodum D. D. Auditorum, 4 tom.;;Pragae 1773-1775;P
SimonbenJochai1;Liber Sohar;Simon Ben Jochai;1684;Simon Ben Jochai (Moses Ben Schem Tov De Leon);Liber Sohar sive collectanea de dictis \& gestis R. Schimeon filii Jochai.;;Nürnberg-Sulzbach 1684;
SimonbenJochai2;Der Sohar;Simon Ben Jochai;1997;Simon Ben Jochai (Moses Ben Schem Tov De Leon);Der Sohar. Das heilige Buch der Kabbala;, nach dem Urtext ausgew., übertr. und hrsg. von Ernst Müller;8. Aufl., München 1997;
Stackhouse1;;Stackhouse;1759;Stackhouse, Thomas;Verthädigung der Christlichen Religion wider die vornehmsten Einwürfe, der heutigen Ungläubigen, aus dem Englischen von H. Chr. Lemker;;2 Bde., 2. Aufl., Hannover 1759--1760;P
Stackhouse2;;Stackhouse;1752--1759;Stackhouse, Thomas;Vertheidigung der biblischen Geschichte und der darauf gegründeten Religion;, Englisch übersetzt mit einer Vorrede von F. E. Rambach;2 Bde., Rostock 1752--1759;P
Stattler1;;Stattler;1770;Stattler, Benedikt;Demonstratio Evangelica Sive Religionis A Jesu Christo Revelatae Certitudo: Accurata Methodo Demonstrata Adversus Theistas Et Omnes Antiqui Et Nostri Aevi Philosophos Antichristianos, Quin Et Contra Iudaeos, Et Mahumetanos.;;Augustae Vindelicorum 1770;P
Stattler2;Ethica christiana communis;Stattler;1782--1791;Stattler, Benedikt;Ethica christiana communis, 3 Theile in 6 Bänden.;;A. Teile in 6 Bden., ugustae Vindelicorum 1782--17913;
Stattler3;Ethica christiana universalis;Stattler;1773;Stattler, Benedikt;Ethica christiana universalis edi coepta anno tertium academiae huic jubilaeo MDCCXXII.;;Ingolstadt 1773;
Stattler3b;Ethica christiana universalis, 2. Aufl.;Stattler;1793;Stattler, Benedikt;Ethica christiana universalis;;2. Aufl., Augustae Vindelicorum 1793;
Storchenau1;Philosophie der Religion;Storchenau;1775--1781;Storchenau, Sigmund Von;Philosophie der Religion;;7 Bde., Augsburg 1775--1781;
Storr1;Doctrinae christianae;Storr;1807;Storr, Gottlob Christian;Doctrinae christianae pars theoretica e sacris litteris repetita auditoribus suis scripsit.;;Stuttgart 1807;P
Suetonius1;De vita Caesarum;Suetonius;;Suetonius Tranquillus, Gaius;De vita Caesarum.;;;
Suetonius2;De viris illustribus;Suetonius;;Suetonius Tranquillus, Gaius;De viris illustribus.;;;
SymbolumAthanasianum;Symbolum Athanasianum;Katholische Kirche;1780;Katholische Kirche;Symbolum Athanasianum;, in: Christian Friedrich Rößler: Bibliothek der Kirchen-Väter in Übersezung und Auszügen aus ihren fürnehmsten, besonders dogmatischen Schriften, sammt dem Original der Hauptstellen und nöthigen Anmerkungen, Teil 5 = Periode 2, Theil 1, Athanasius. Eusebius. Cyrillus von Jerusalem.;Leipzig 1780;P
SymbolumApostolicum;Symbolum Apostolicum;;;;Symbolum Apostolicum;;;
Tacitus1;;Tacitus;;Tacitus, P. Cornelius;Annales (Ab excessu divi Augusti).;;;
Tacitus2;;Tacitus;;Tacitus, P. Cornelius;Historiae.;;;
Tacitus3;;Tacitus;1607;Tacitus, P. Cornelius;De situ, moribus et populis Germaniae libellus, in: Opera quae extant, adiectus index nominum, verborum, iuxta veterrimos manuscriptos emendata, notisque auctioribus illustrata per Curtium Pichenam.;;Frankfurt 1607;P
Terentius1;;Terentius Afer;1788;Terentius Afer, Publius;Eunuchus Publii Terentii Afri Comoediae sex novissime et accurate ad optimas editiones recognitae, Ed. A. Karcher.;;Mannheimii 1788;
Tertullian1;;Tertullian;1535;Tertullian, Quintus Septimus Florens;Apologeticus adversus gentes.  ;;Venetiis 1535;
Tertullian1a;;Tertullian;1844;Tertullian, Quintus Septimus Florens;Apologeticus adversus gentes, in: Quinti Septimii Florentis Tertulliani presbyteri Carthaginiensis Opera omnia, cum selectis praecedentium editionum lectionibus variorumque commentariis, Ed. J.-P. Migne, tom 1. Patrologia cursus completus, series latina.;;Parisiis 1844;P
Tertullian2;;Tertullian;1844;Tertullian, Quintus Septimius Florens;Quinti Septimii Florentis Tertulliani presbyteri Carthaginiensis Opera omnia, cum selectis praecedentium editionum lectionibus variorumque commentariis, Ed. J.-P. Migne, tom 1. Patrologia cursus completus, series latina.;;Parisiis 1844;
Tertullian2a;cyprianus1;Tertullian;1844;Tertullian, Quintus Septimius Florens;Libri ab auctore Montanista scripti quibus praemittitur liber insignis de praescriptionibus adversus haereticos, in: Quinti Septimii Florentis Tertulliani presbyteri Carthaginensis opera omnia: cum selectis praecedentium editionum lectionibus variorumque commentariis, accurante et denuo recognoscente J.-P. Migne, tom 2.;;Paris 1844;
Tertullian2b;De corona;Tertullian;;Tertullian, Quintus Septimius Florens;De corona.;;;
Tertullian3;;Tertullian;1769--1776;Tertullian, Quintus Septimius Florens;Adversus Praxean, in: Gesamtausgabe, hrsg. Von J. S. Semler, 6 Bände.;;Halle 1769--1776;nicht gefunden
Tertullian4;;Tertullian;1780--1781;Tertullian, Quintus Septimius Florens;Oblationes pro defunctis, In: Q. Septimii Florentis TertullianiOpera omnia sanctorum patrum Latinorum, 2 Bände.;;Würzburg 1780--1781;P
Tertullian4a;Ad uxorem;Tertullian;1780--1781;Tertullian, Quintus Septimius Florens;Ad uxorem, In: Q. Septimii Florentis Tertulliani Opera omnia sanctorum patrum Latinorum, 2 Bände.;;Würzburg 1780--1781;P
Tertullian5;De poenitentia;Tertullian;;Tertullian, Quintus Septimius Florens;De poenitentia opuscula.;;;
Teutscher1;Teutscher Merkur;;1773--1789;;Der teutsche Merkur, Hg. von Christoph Martin Wieland.;;Weimar 1773--1789;
Theognis1;Sententiae Elegiacae;Theognis Megarensis;1692;Theognis Megarensis;Theognidis Megarensis Sententiae Elegiacae. Ed. Jacobus Hertel.;;Wratislaviae 1692;
Theognis1a;Probe einer Uebersetzung;;1799;Theognis Megarensis;Probe einer Uebersetzung des Theognis, nebst Nachrichten vom Gröningschen Collegium und Anzeige dessen, was itzt in demselben gelehrt wird : Womit zu der auf den 12ten Februar \ldots\ zu veranstaltenden Feier des Sterbetags des edeln Bürgermeisters Peter Gröning, milden Stifters des hiesigen Collegiums, alle hohen Gönner und Freunde \ldots\  einladet.;;Stargard 1799;
ThomasAquinas1;Opera omnia;Thomas von Aquin;;Thomas von Aquin;Opera omnia: ad fidem optimarum editionum accurate recognita, Commentum in quattuor libros sententiarum magistri Petri Lombardi.;;;
ThomasAquinas2;Quaestiones de veritate;Thomas von Aquin;1745--1788;Thomas von Aquin;Quaestiones de veritate, In: Opera omnia, hrsg. B. M. De Rubeis, 28 Bände.;;Venedig 1745--1788;nicht gefunden
ThomasAquinas3;Summa theologiae;Thomas von Aquin;1701--1702;Thomas von Aquin;Summa totius theologiae S. Thomae Aquinatis.;;Lugduni 1701--1702;P
Tieftrunk1;Censur;Tieftrunk;1796;Tieftrunk, Johann Heinrich;Censur des christlichen protestantischen Lehrbegriffs nach den Prinzipien der Religionskritik mit besonderer Hinsicht auf die Lehrbucher von D. J. C. Doederlein und D. S. F. N. Morus, zweite veränderte und vermehrte Auflage.;;Berlin 1796;P
Tridentinum1;Concilium Tridentinum;Katholische Kirche;1901ff.;Tridentinum;Concilium Tridentinum (sess. 7. c.8 und sess. 13. c. 8. can. 1 und 2), in: Concilium Tridentinum, Diariorum, Actorum, Epistularum, Tractatuum, nova collectio, (bisher) 13 Bände.;;Friburgi Brisgoviae 1901ff.;P
Tzschirner1;De sacris ecclesiae;Tzschirner;1815;Tzschirner, Heinrich Gottlieb;De sacris ecclesiae nostrae publicis caute emendandis, 2 Bände.;;Leipzig 1815;nicht gefunden
Vater1;Untersuchungen;Vater;1810;Vater, Johann Severin;Untersuchungen über Amerika's Bevölkerung aus dem alten Kontinente.;;Leipzig 1810;
Varro1;Hebdomades;Varro;;Varro, Marcus Terentius;Hebdomades vel de imaginibus libri XV.;;;
Vergilius1;Aeneis;Vergil;;Vergilius Maro, Publius;Aeneis.;;;
Vernet1;Traité;Vernet;1740--1748;Vernet, Jacob;Traité de la vérité de la religion chrétienne, 10 Bände.;;Geneve 1740--1748;
Vernet1a;Abhandlung;Vernet;1753;Vernet, Jacob;Abhandlung von der Wahrheit der christlichen Religion, zum Theil aus dem Lateinischen des J. A. Turrettin genommen, nebst einer Vorrede Johann Georg Walches, aus dem Französischen übersetzt von Johann Daniel Heyde.;;Halle 1753;
Villaume1;Von dem Ursprunge;Villaume;1786--1787;Villaume, Peter;Von dem Ursprunge und den Absichten des Uebels, 3 Bände.;;Carlsruhe 1786--1787;
Vincentius1;Praescriptionum;Vinzenz von Lerins;1602;Vinzenz von Lerins;Praescriptionum adversus haeretico perpetuarum ex s. s. Orthodoxis potissimum patribus Tractatus VI. Praesentium temporum novatoribus oppositi [\ldots] studio Justi Calvini Veteracastrensis. S. Vincentii Lirinensis Commonitorium adversus prophanas haereseon novitates.;;Moguntiae 1602;Ausgabe nicht gefunden
Vives1;De Veritate Fidei;Vives;1568;Vives, Ludovicus;Ioannis Lodovici Vivis Valentini De Veritate Fidei Christianae: libri V. in quibus de religionis nostrae fundamentis, contra Ethnicos, Iudaeos, Agarenos, siue Mahumetanos \& peruerse Christianos plurima \ldots\ disputantur, nunc denuo in lucem editi, Acceßit rerum \& uerborum.;;Coloniae 1568;
Walther1;;Walther;1953--1969;Walther, Hans;Proverbia sententiaeque latinitatis medii aevi.;;Göttingen 1963--1969;
Werenfels1;Opuscula;Werenfels;1782;Werenfels, Samuel;Samuelis Werenfelsii \ldots\ Opuscula theologica, philosophica et philologica, Editio nova aucta et emendata.;;Basileae 1782;
Wettstein1;;Wettstein;1751--1752;Wettstein, Johann Jakob;xxxxx xxxxxxx--Novum Testamentum Graecum editionis receptae cum lectionibus variantibus codicum MSS., editionum aliarum, versionum et patrum nec non commentario pleniore ex scriptoribus veteribus Hebraeis, Graecis et Latinis historiam et vim verborum illustrante, 2 Bde.;;Amstelaedami 1751--1752;
Wieland1;;Wieland;1805;Wieland, Christoph Martin;Euthanasia. Drey Gespräche über das Leben nach dem Tode, veranlasst Durch D. I. K. W**LS [d.i. Dr. Johann Karl Wötzels] Geschichte Der Wirklichen Erscheinung Seiner Gattin Nach Ihrem Todei in: Wielands sämmtliche Werke, Band 37.;;Leipzig 1805;
Wieland2;;Wieland;1796;Wieland, Christoph Martin;Agathodämon.;;Leipzig 1796;
Wieland3;Gedanken von der Freiheit;Wieland;1789;Wieland, Christoph Martin;Gedanken von der Freiheit über Gegenstände des Glaubens zu philosophieren. Neue, verbesserte Ausgabe.;;Leipzig 1789;
Wizenmann1;;Wizenmann;1789;Wizenmann, Thomas;Die Geschichte Jesu nach Matthäus als Selbstbeweis ihrer Zuverlässigkeit betrachtet, nebst einem Vorbereitungsaufsatze über das Verhältniß der israelitischen Geschichte zur christlichen.;;Leipzig 1789;
Wizenmann2;;Wizenmann;1786;Wizenmann, Thomas;Die Resultate der Jacobi'schen und Medelssohn'schen Philosophie kritisch untersucht, von einem Freywilligen [i.e. Thomas Wizenmann].;;Leipzig 1786;
Wuensch1;;Wünsch;1783;Wünsch, Christian Ernst;Horus, oder, Astrognostisches Endurtheil über die Offenbarung Johannis und über die Weissagungen auf den Messias wie auch über Jesum und seine Jünger mit einem Anhange von Europens neuern Aufklärung und von der Bestimmung des Menschen durch Gott: ein Lesebuch zur Erholung für die Gelehrten und ein Denkzeddel für Freimaurer.;;Ebenezer [i.e. Halle] 1783;
Xenophon1;Apologia;Xenophon;1545;Xenophon;Apologia, in: Xenophontis philosophi ac historici excellentissimi Opera, quae quidem exstant, omnia tam Graeca quam Latina hominum doctissimorum diligentia, partim jam olim, partim nunc primum latinitate donata, ac multo accuratius quam antea recognita, quorum catalogum versa pagella demonstrabit, adjecimus historiarum \& rerum memoratu dignarum indicem locupletissimum.;;Basileae 1545;
Xenophon1a;Denkwürdigkeiten des Sokrates;Xenophon;1806;Xenophon;Xenophons Denkwürdigkeiten des Sokrates mit einem griechisch-deutschen Wortregister für Schulen, Hrsg. Von Ludwig Heinrich Teucher.;;Leipzig 1806;P
